,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Arizona Passing,,ARI,12,QB,100.00,67%,393.2,584.8,7.6,4438.0,31.17,12.00,135,808,8.00,
Kyler Murray,1,ARI,12,QB,0.96,67%,377.4,561.4,7.6,4293.9,31.00,11.00,135,808,8.00,
Colt McCoy,2,ARI,12,QB,0.04,62%,14.5,23.4,6.8,159.1,1.25,0.48,0,0,0.00,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Arizona Rushing,,ARI,12,RB,100,499.32,4.7,4.3,2471.4,20.0,0.21,82.57,7.3,7.4,606,4.0
James Conner,1,ARI,12,RB,0.42,209.71,4.2,4.1,858.5,7.0,0.33,27.25,7.2,6.6,180,1.0
Chase Edmonds,2,ARI,12,RB,0.25,124.83,4.4,4.3,536.0,4.0,0.67,55.32,8.3,7.7,426,3.0
Eno Benjamin,3,ARI,12,RB,0.03,14.98,4.2,4.1,61.3,0.0,0.00,0.00,7.8,7.2,0,0.0
Jonathan Ward,4,ARI,12,RB,0.00,0.00,3.9,3.8,0.0,0.0,0.00,0.00,7.5,6.9,0,0.0
Kyler Murray,,ARI,12,QB,0.27,134.82,6.1,6.0,808.0,8.0,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Arizona Rec WR,,ARI,12,WR,0.05,26.99,7.7,4.3,207.7,1.1,0.71,279.15,12.5,12.6,3489,24.0
DeAndre Hopkins,1,ARI,12,WR,0.00,0.00,4.5,4.4,0.0,0.0,0.43,120.03,12.2,11.9,1426,9.0
Christian Kirk,2,ARI,12,WR,0.02,9.00,7.2,7.1,63.8,0.0,0.18,50.25,12.5,12.2,612,5.0
