Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	VOR	"Drop Off"	Tier	ADP
Patrick Mahomes	KC	QB	359	382	415	22.6	3.72	75.1	9.55	1	16.2
Josh Allen	BUF	QB	349	372	391	17	3.41	65.5	17.3	2	27.1
Kyler Murray	ARI	QB	327	355	384	21.4	3.64	48.3	2.35	2	39.9
Lamar Jackson	BAL	QB	332	352	366	12.9	3.26	45.9	17.1	3	42.6
Aaron Rodgers	GB	QB	325	335	353	10.6	3.08	28.9	0.793	3	53.4
Russell Wilson	SEA	QB	318	334	357	13.3	3.11	28.1	6.77	3	56.7
Justin Herbert	LAC	QB	301	328	351	20.1	3.46	21.3	1.74	3	57.9
Dak Prescott	DAL	QB	290	326	355	22.7	3.66	19.5	12.7	4	53.4
Tom Brady	TB	QB	281	313	332	18.6	3.52	6.86	6.86	4	66.1
Christian McCaffrey	CAR	RB	266	308	338	26.2	3.92	141	16.5	1	1.23
Ryan Tannehill	TEN	QB	288	306	327	15.8	3.29	0	17.8	5	90.4
Dalvin Cook	MIN	RB	263	291	313	21.6	3.35	125	7.9	1	2.54
Jalen Hurts	PHI	QB	253	289	320	22.2	3.82	-17.8	6.46	5	92.7
Derrick Henry	TEN	RB	257	283	310	19.4	3.11	117	19.7	2	3.74
Kirk Cousins	MIN	QB	262	282	306	15.3	3.77	-24.3	0.797	5	138
Matthew Stafford	LAR	QB	257	281	312	21.7	3.59	-25.1	8.38	6	87.3
Joe Burrow	CIN	QB	245	273	297	19.1	3.57	-33.5	2.29	6	111
Matt Ryan	ATL	QB	246	271	293	17.9	3.91	-35.8	0.2	6	128
Trevor Lawrence	JAC	QB	234	270	305	27.4	4.54	-36	4.41	6	122
Ben Roethlisberger	PIT	QB	241	266	301	25.5	4.79	-40.4	2.32	6	143
Baker Mayfield	CLE	QB	245	264	302	22.2	4.62	-42.7	2.11	6	136
Alvin Kamara	NO	RB	220	264	301	32.8	4.86	97.1	30.1	3	4.05
Derek Carr	LVR	QB	237	262	300	23.2	4.97	-44.8	1.57	6	147
Tua Tagovailoa	MIA	QB	233	260	292	22.2	4.48	-46.4	2.74	6	145
Ryan Fitzpatrick	WAS	QB	203	257	307	36.4	5.37	-49.1	8.74	7	160
Carson Wentz	IND	QB	210	249	285	29.2	5.71	-57.9	0.574	7	167
Jameis Winston	NO	QB	195	248	309	46.5	6.68	-58.4	1.54	7	144
Daniel Jones	NYG	QB	216	246	270	22	5.14	-60	1.79	7	199
Zach Wilson	NYJ	QB	186	245	283	37.5	5.85	-61.8	9.17	8	158
Sam Darnold	CAR	QB	178	235	261	29.4	5.52	-70.9	0.883	8	161
Mac Jones	NE	QB	195	235	260	21.4	5.85	-71.8	0.399	8	154
Justin Fields	CHI	QB	135	234	303	65.2	7.77	-72.2	6.2	8	132
Nick Chubb	CLE	RB	194	234	262	27.6	4.22	66.9	0.192	3	9.08
Aaron Jones	GB	RB	210	233	251	16.1	2.8	66.7	2.18	3	8.98
Saquon Barkley	NYG	RB	204	231	277	26.9	4.33	64.5	2.99	4	11.5
Tyreek Hill	KC	WR	215	231	249	13.1	2.79	81.4	6.79	1	11.6
Jared Goff	DET	QB	189	228	276	35.1	6.08	-78.4	23.6	9	241
Ezekiel Elliott	DAL	RB	189	228	265	27.6	4.22	61.6	2.75	4	6.69
Jonathan Taylor	IND	RB	185	225	273	31.8	4.9	58.8	8.35	4	10.5
Davante Adams	GB	WR	203	224	237	13.2	2.79	74.6	13.5	1	9.26
Joe Mixon	CIN	RB	202	217	245	16.8	3.23	50.4	2.48	4	20.3
Austin Ekeler	LAC	RB	181	215	236	22.5	3.97	48	7.35	5	11.9
Calvin Ridley	ATL	WR	195	211	223	11.2	2.63	61.2	0.187	1	20.3
Stefon Diggs	BUF	WR	181	211	241	23.6	4.04	61	16.6	2	15.2
Najee Harris	PIT	RB	182	207	242	22.3	4.04	40.6	3.22	5	15.4
Teddy Bridgewater	DEN	QB	66.8	204	265	79.2	8.32	-102	22	10	178
Antonio Gibson	WAS	RB	154	204	243	32.2	4.98	37.4	7.69	5	17.8
Travis Kelce	KC	TE	170	197	215	18	3.48	101	25.2	1	10
David Montgomery	CHI	RB	165	196	236	26.1	4.42	29.7	0.858	5	31.1
Chris Carson	SEA	RB	174	195	224	19.2	3.41	28.9	2.43	5	33.6
DeAndre Hopkins	ARI	WR	174	194	230	19.2	3.56	44.4	0.593	2	19.9
Clyde Edwards-Helaire	KC	RB	172	193	224	21.4	3.72	26.4	1.94	5	24.4
DK Metcalf	SEA	WR	166	193	215	17.7	3.42	43.8	1.12	2	20.9
Justin Jefferson	MIN	WR	172	192	223	18.3	3.47	42.7	5.16	3	24.5
D'Andre Swift	DET	RB	158	191	221	25.8	4.49	24.5	0.593	5	39.3
Miles Sanders	PHI	RB	151	191	227	27.1	4.71	23.9	0.786	5	43.5
James Robinson	JAC	RB	162	190	204	15.1	3.27	23.1	1.94	6	40.2
Josh Jacobs	LVR	RB	149	188	221	25.6	4.46	21.2	14.8	6	37.4
A.J. Brown	TEN	WR	167	187	202	14	2.99	37.5	14	4	26.1
Trey Lance	SF	QB	46.5	182	295	94.8	9.96	-124	9.4	11	137
Tyrod Taylor	HOU	QB	24	173	293	92.6	8.93	-133	16	12	249
