Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	"Drop Off"	Tier	ADP
Patrick Mahomes	KC	QB	24.3	25.4	26.3	0.88	3.15	0.477	1
Kyler Murray	ARI	QB	22.7	25	27.8	2.13	3.78	1.72	2
Lamar Jackson	BAL	QB	22.1	23.2	24.2	0.852	3.03	1.34	3
Aaron Rodgers	GB	QB	20.6	21.9	24.9	1.85	3.87	0.234	3
Tom Brady	TB	QB	20.8	21.7	22.1	0.575	3.29	0.055	3
Matthew Stafford	LAR	QB	18	21.6	23.9	2.41	4.29	0.984	4
Jalen Hurts	PHI	QB	19.5	20.6	22.2	1.19	3.78	0.099	4
Ryan Tannehill	TEN	QB	19.5	20.5	21.4	0.755	3.56	1.13	5
Derrick Henry	TEN	RB	17.5	20	23	2.11	5.18	0.209	1
Alvin Kamara	NO	RB	17.1	19.8	20.8	1.66	4.41	3.43	2
Derek Carr	LVR	QB	17.6	19.4	20.1	1.1	5.34	0.374	6
Davante Adams	GB	WR	17	19.2	21.4	1.75	5	0.549	1
Matt Ryan	ATL	QB	18.4	19	19.4	0.478	4.34	0.745	6
Tyreek Hill	KC	WR	17.3	18.6	19.7	1.03	3.47	0.889	1
Tua Tagovailoa	MIA	QB	17.9	18.3	18.7	0.364	5.25	0.427	7
Sam Darnold	CAR	QB	17	17.9	19.8	1.17	4.73	0.0157	7
Joe Burrow	CIN	QB	16.4	17.8	19.2	1.15	4.39	0.716	7
Cooper Kupp	LAR	WR	15.4	17.7	19.8	1.8	5.09	2.86	2
Jameis Winston	NO	QB	14.7	17.1	19.5	2.05	7.62	0.168	7
Teddy Bridgewater	DEN	QB	16	17	18.6	1.17	4.49	0.152	8
Daniel Jones	NYG	QB	15.8	16.8	18.1	0.961	5.21	0.575	8
Aaron Jones	GB	RB	16	16.4	16.7	0.279	2.28	0.528	3
Baker Mayfield	CLE	QB	14.2	16.2	18.7	2.06	5.65	0.346	8
Travis Kelce	KC	TE	14.1	16.2	18.3	1.65	5.61	2.99	1
Mac Jones	NE	QB	13.2	15.9	17.5	2.04	5.48	0.367	9
Darrell Henderson	LAR	RB	14.1	15.8	16.6	1.05	3.85	1.03	4
Carson Wentz	IND	QB	14.3	15.5	17.7	1.47	5.4	0.852	9
