Player  Team    Floor   Mean    Ceiling SD  Risk    VOR "Drop Off"  Tier    ADP
Patrick Mahomes	KC	359	382	415	22.6	3.72	75.1	9.55	1	16.2
Josh Allen	BUF	349	372	391	17	3.41	65.5	17.3	2	27.1
Kyler Murray	ARI	327	355	384	21.4	3.64	48.3	2.35	2	39.9
Lamar Jackson	BAL	332	352	366	12.9	3.26	45.9	17.1	3	42.6
Aaron Rodgers	GB	325	335	353	10.6	3.08	28.9	0.793	3	53.4
Russell Wilson	SEA	318	334	357	13.3	3.11	28.1	6.77	3	56.7
Justin Herbert	LAC	301	328	351	20.1	3.46	21.3	1.74	3	57.9
Dak Prescott	DAL	290	326	355	22.7	3.66	19.5	12.7	4	53.4
Tom Brady	TB	281	313	332	18.6	3.52	6.86	6.86	4	66.1
Ryan Tannehill	TEN	288	306	327	15.8	3.29	0	17.8	5	90.4
Jalen Hurts	PHI	253	289	320	22.2	3.82	-17.8	6.46	5	92.7
Kirk Cousins	MIN	262	282	306	15.3	3.77	-24.3	0.797	5	138
Matthew Stafford	LAR	257	281	312	21.7	3.59	-25.1	8.38	6	87.3
Joe Burrow	CIN	245	273	297	19.1	3.57	-33.5	2.29	6	111
Matt Ryan	ATL	246	271	293	17.9	3.91	-35.8	0.2	6	128
Trevor Lawrence	JAC	234	270	305	27.4	4.54	-36	4.41	6	122
Ben Roethlisberger	PIT	241	266	301	25.5	4.79	-40.4	2.32	6	143
Baker Mayfield	CLE	245	264	302	22.2	4.62	-42.7	2.11	6	136
Derek Carr	LVR	237	262	300	23.2	4.97	-44.8	1.57	6	147
Tua Tagovailoa	MIA	233	260	292	22.2	4.48	-46.4	2.74	6	145
Ryan Fitzpatrick	WAS	203	257	307	36.4	5.37	-49.1	8.74	7	160
Carson Wentz	IND	210	249	285	29.2	5.71	-57.9	0.574	7	167
Jameis Winston	NO	195	248	309	46.5	6.68	-58.4	1.54	7	144
Daniel Jones	NYG	216	246	270	22	5.14	-60	1.79	7	199
Zach Wilson	NYJ	186	245	283	37.5	5.85	-61.8	9.17	8	158
Sam Darnold	CAR	178	235	261	29.4	5.52	-70.9	0.883	8	161
Mac Jones	NE	195	235	260	21.4	5.85	-71.8	0.399	8	154
Justin Fields	CHI	135	234	303	65.2	7.77	-72.2	6.2	8	132
Jared Goff	DET	189	228	276	35.1	6.08	-78.4	23.6	9	241
Teddy Bridgewater	DEN	66.8	204	265	79.2	8.32	-102	22	10	178
Trey Lance	SF	46.5	182	295	94.8	9.96	-124	9.4	11	137
Tyrod Taylor	HOU	24	173	293	92.6	8.93	-133	16	12	249
