Index	a	b	Position	Player	Team	Floor	Points	Ceiling	SD	Uncertainty	VOR	"Drop Off"	Tier	ADP	AAV
1			RB	Jonathan Taylor	IND	264	295	332	21	27	139	24.7	1	1.24	63.9
2			RB	Derrick Henry	TEN	234	271	309	31.3	65	114	23.4	2	4.89	55.7
3			TE	Travis Kelce	KC	165	184	210	8.62	3	101	16.7	1	16.3	43
4			WR	Cooper Kupp	LAR	220	236	280	5.39	1	98.6	20.8	1	5.53	53.4
5			RB	Christian McCaffrey	CAR	208	247	311	16.4	13	90.8	2.91	2	3.68	61.4
6			RB	Austin Ekeler	LAC	218	244	274	18.3	21	87.9	9.31	3	4.67	57.6
7			TE	Mark Andrews	BAL	159	168	185	7.67	6	84.4	35.7	2	24.7	30.8
8			QB	Josh Allen	BUF	372	384	403	12.4	1	81.7	26.5	1	18.1	40.1
9			RB	Dalvin Cook	MIN	202	235	264	24.2	35	78.6	6.51	3	6.96	56.1
10			WR	Justin Jefferson	MIN	199	215	234	14.7	14	77.8	1.91	1	6.57	52.2
11			WR	Deebo Samuel	SF	180	213	233	23.8	39	75.9	4.97	1	20.6	34.8
12			RB	Joe Mixon	CIN	211	228	250	11.5	1	72.1	9.11	3	11.2	49.4
13			WR	Ja'Marr Chase	CIN	197	208	242	4.33	1	70.9	11.9	2	9.78	48.4
14			RB	Najee Harris	PIT	188	219	254	23.2	38	63	1.69	4	8.83	49.2
15			RB	Alvin Kamara	NO	192	218	236	6.79	1	61.3	5.42	4	15.5	44.7
16			WR	Davante Adams	LVR	175	196	220	11.1	7	59	9.9	3	14.3	45.7
17			RB	Nick Chubb	CLE	166	212	257	44.1	87	55.9	6.77	4	15.7	43.8
18			QB	Patrick Mahomes	KC	338	357	371	15.2	14	55.2	15.6	1	31.8	29.5
19			RB	Leonard Fournette	TB	179	205	222	13.4	15	49.1	1.52	4	22.8	38.7
20			WR	CeeDee Lamb	DAL	147	187	209	18.3	25	49.1	0.0996	3	21.7	35.8
21			WR	Stefon Diggs	BUF	162	186	203	17.3	24	49	2.44	3	14.6	42.3
22			TE	George Kittle	SF	118	132	156	4.32	1	48.7	3.11	2	44.7	18.6
23			RB	James Conner	ARI	174	204	227	17.5	28	47.6	1.78	5	30.5	32.5
24			WR	Mike Evans	TB	164	184	197	6.13	3	46.6	8.1	3	26.3	34.2
25			RB	Aaron Jones	GB	171	202	233	38.3	82	45.8	0.214	5	18.5	41.7
26			RB	Saquon Barkley	NYG	166	202	235	25.9	58	45.6	5.77	5	19.3	45.1
27			TE	Kyle Pitts	ATL	114	129	158	13.1	26	45.6	0.0892	2	36	24.2
28			TE	Darren Waller	LVR	118	129	156	10.8	11	45.5	9.19	3	50.1	17.3
29			RB	Javonte Williams	DEN	172	196	226	11.1	4	39.8	1.65	5	22.8	36.2
30			QB	Justin Herbert	LAC	335	342	365	8.4	3	39.6	14.8	2	34.7	26.7
31			WR	Tyreek Hill	MIA	160	176	195	8.52	4	38.5	5.38	4	23.9	37.1
32			RB	D'Andre Swift	DET	159	195	237	27.6	62	38.2	1.42	5	16.7	41.1
33			RB	David Montgomery	CHI	168	193	211	17.3	32	36.7	3.04	5	37.6	21.8
34			TE	Dalton Schultz	DAL	106	120	132	8.8	17	36.3	4.07	3	65.2	13.6
35			RB	Ezekiel Elliott	DAL	163	190	214	15.1	24	33.7	11	6	28.7	32.7
36			WR	A.J. Brown	PHI	149	170	198	13.9	20	33.1	6.39	4	31.8	28.1
37			TE	Dallas Goedert	PHI	99.5	116	130	13	29	32.2	11.4	4	71.5	9.07
38			WR	Tee Higgins	CIN	151	164	174	9.58	6	26.7	3.55	5	36.4	25.2
39			QB	Lamar Jackson	BAL	300	327	347	11.5	9	24.7	0.977	2	43.1	24.4
40			QB	Jalen Hurts	PHI	302	326	360	18.6	20	23.7	1.98	2	54.2	17.9
41			WR	Mike Williams	LAC	149	161	178	8.79	11	23.2	0.838	5	48.6	18.7
42			RB	Elijah Mitchell	SF	157	179	204	10.4	10	22.7	8.21	6	49.3	21.9
43			WR	Michael Pittman	IND	146	160	178	9.24	8	22.3	6.03	5	35.8	27.7
44			QB	Kyler Murray	ARI	293	324	347	21.8	31	21.8	6.58	2	56.7	19.2
