Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	VOR	"Drop Off"	Tier	ADP
Kyler Murray	ARI	QB	22.3	24.2	27.4	1.97	5.13	0.0898	1
Josh Allen	BUF	QB	22	24.1	27	1.8	5.4	0.181	1
Patrick Mahomes	KC	QB	21.3	23.9	26.5	1.99	5.27	1.14	2
Tom Brady	TB	QB	20.4	22.8	25.1	1.85	5.42	0.0368	2
Lamar Jackson	BAL	QB	21.4	22.8	24.3	1.17	4.4	0.135	2
Dak Prescott	DAL	QB	21.2	22.6	25.1	1.68	5.19	0.00828	2
Russell Wilson	SEA	QB	21.5	22.6	23.6	0.787	3.47	0.604	2
Aaron Rodgers	GB	QB	20.7	22	23.6	1.23	4.5	0.116	3
Justin Herbert	LAC	QB	20.1	21.9	23.4	1.33	4.63	1.43	4
Jalen Hurts	PHI	QB	18.7	20.5	22.8	1.76	5.21	1.38	5
Christian McCaffrey	CAR	RB	17.8	19.9	22.3	1.63	3.39	0.289	1
Alvin Kamara	NO	RB	17.5	19.6	21.6	1.51	3.32	0.66	1
Matthew Stafford	LAR	QB	17.6	19.1	20	0.855	3.6	0.0987	5
Ryan Tannehill	TEN	QB	16.5	19	21.3	2.1	5.7	0.0139	5
Teddy Bridgewater	DEN	QB	17.1	19	20.3	1.55	5.3	0.142	5
Davante Adams	GB	WR	16.3	19	21	2.03	3.77	0.319	1
Dalvin Cook	MIN	RB	17.7	18.9	20.2	0.922	2.35	1.54	2
Ben Roethlisberger	PIT	QB	17.2	18.8	19.7	1.06	4.45	0.0252	6
Baker Mayfield	CLE	QB	16.7	18.8	21	1.63	5.06	0.321	6
Tyreek Hill	KC	WR	16.7	18.7	21	1.62	3.26	1.74	2
Joe Burrow	CIN	QB	17.3	18.5	19.9	0.943	3.85	0.0557	6
Jameis Winston	NO	QB	15.7	18.4	20.6	1.93	5.68	0.247	6
Kirk Cousins	MIN	QB	16.5	18.2	20	1.22	4.39	1.21	7
Nick Chubb	CLE	RB	14.4	17.4	19.2	1.73	3.98	0.0158	2
Aaron Jones	GB	RB	16.2	17.4	18.2	0.9	2.46	0.515	2
Travis Kelce	KC	TE	16.4	17.3	18.5	0.844	2.65	3.38	1
Derek Carr	LVR	QB	15.3	17	18.8	1.67	5.42	0.0117	7
Matt Ryan	ATL	QB	15	17	18.7	1.59	5.59	0.00212	7
Trevor Lawrence	JAC	QB	14.9	16.9	19.3	1.66	5.8	0.128	7
Derrick Henry	TEN	RB	15	16.9	19.1	1.8	4.13	0.723	3
Stefon Diggs	BUF	WR	14.3	16.9	20	2.24	4.3	0.358	2
Mac Jones	NE	QB	14.6	16.8	19	1.67	5.52	0.384	8
DeAndre Hopkins	ARI	WR	13.4	16.6	18.1	1.89	3.56	0.69	2
Jimmy Garoppolo	SF	QB	13.7	16.4	18.2	1.91	6.24	0.156	8
