Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	VOR	"Drop Off"	Tier	ADP
Patrick Mahomes	KC	QB	368	390	422	21.2	2.87	73.4	6.87	1	16.2
Josh Allen	BUF	QB	357	383	400	17.5	2.7	66.5	15.7	1	27.1
Kyler Murray	ARI	QB	340	367	397	20.9	2.87	50.8	3.8	2	39.9
Lamar Jackson	BAL	QB	343	363	374	12.3	2.54	47	17.6	3	42.6
Christian McCaffrey	CAR	RB	306	356	392	31	4.09	168	36.8	1	1.23
Russell Wilson	SEA	QB	333	346	368	12.4	2.31	29.4	3.66	3	56.7
Aaron Rodgers	GB	QB	330	342	363	12.2	2.37	25.7	1.92	3	53.4
Justin Herbert	LAC	QB	314	340	359	19.8	2.66	23.8	1.38	3	57.9
Dak Prescott	DAL	QB	304	339	364	21.2	2.8	22.4	13.4	4	53.4
Tom Brady	TB	QB	295	325	344	17.5	2.71	9.02	9.02	4	66.1
Dalvin Cook	MIN	RB	286	320	343	24.7	3.42	132	13.5	1	2.54
Ryan Tannehill	TEN	QB	299	316	340	16.5	2.69	0	13.4	5	90.4
Alvin Kamara	NO	RB	260	306	345	33.6	4.45	118	10.9	2	4.05
Jalen Hurts	PHI	QB	268	303	330	20.7	3.04	-13.4	8.24	6	92.7
Kirk Cousins	MIN	QB	276	295	320	15.2	3.32	-21.7	2.31	6	138
Derrick Henry	TEN	RB	269	295	321	19.2	2.85	107	35.1	3	3.74
Matthew Stafford	LAR	QB	267	292	320	21	2.84	-24	7.84	6	87.3
Joe Burrow	CIN	QB	256	285	304	18.3	2.98	-31.8	0.625	6	111
Davante Adams	GB	WR	259	285	304	16.6	2.43	98.3	4.31	1	9.26
Matt Ryan	ATL	QB	258	284	303	17.3	3.38	-32.4	0.486	6	128
Trevor Lawrence	JAC	QB	245	283	320	27.4	3.85	-32.9	3.88	7	122
Tyreek Hill	KC	WR	261	281	300	16.4	2.43	94	11.7	1	11.6
Ben Roethlisberger	PIT	QB	257	280	310	24.9	4.28	-36.8	3.7	7	143
Baker Mayfield	CLE	QB	255	276	318	23.6	4.22	-40.5	3.69	7	136
