Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	"Drop Off"	Tier	ADP
Josh Allen	BUF	QB	23.2	24.2	25.1	0.751	2.97	0.195	1
Lamar Jackson	BAL	QB	22.6	24	25.3	1.33	3.79	0.131	1
Kyler Murray	ARI	QB	22.1	23.8	26.8	1.84	4.51	0.454	1
Patrick Mahomes	KC	QB	22	23.4	26.3	1.71	4.32	1.31	2
Tom Brady	TB	QB	19.9	22.1	24.3	1.88	5.24	0.752	3
Dak Prescott	DAL	QB	19.1	21.3	22.6	1.3	4.05	0.48	3
Kirk Cousins	MIN	QB	18.2	20.8	23.8	1.95	5.52	0.0553	3
Jalen Hurts	PHI	QB	19.3	20.8	22.5	1.14	4.6	0.409	4
Russell Wilson	SEA	QB	19.5	20.4	21.1	0.587	3.53	0.129	4
Justin Herbert	LAC	QB	18.3	20.2	21	1.06	4.48	0.00975	4
Daniel Jones	NYG	QB	18.4	20.2	21.9	1.33	4.87	0.0624	4
Sam Darnold	CAR	QB	18.8	20.2	21.1	1.03	4.35	0.0132	4
Aaron Rodgers	GB	QB	19.2	20.2	20.8	0.625	4.06	0.352	4
Derrick Henry	TEN	RB	16.8	20.2	22.4	1.99	4.29	2.49	1
Ryan Tannehill	TEN	QB	16.6	19.8	21.1	1.84	5.33	0.352	4
Matthew Stafford	LAR	QB	17.4	19.5	20.7	1.3	4.28	0.41	5
Derek Carr	LVR	QB	18	19.1	20.4	0.982	4.41	0.191	5
Trey Lance	SF	QB	13	18.9	23.4	4.07	10.3	0.635	5
Joe Burrow	CIN	QB	16.5	18.2	19.6	1.15	5.1	0.26	6
Davante Adams	GB	WR	15.7	18.1	19.9	1.74	3.67	0.53	1
Taylor Heinicke	WAS	QB	15.3	18	19.9	1.74	4.6	0.0702	6
Matt Ryan	ATL	QB	16.7	17.9	19.3	1.11	5.67	0.243	6
Alvin Kamara	NO	RB	16.6	17.8	19.7	1.21	3.64	0.872	1
Mac Jones	NE	QB	16.1	17.7	19	1.21	5.03	0.078	6
Trevor Lawrence	JAC	QB	16.1	17.6	19.2	1.33	4.82	0.0471	6
Tyreek Hill	KC	WR	15.9	17.6	19.2	1.4	3.2	0.502	1
Jared Goff	DET	QB	15.1	17.5	19.4	1.62	5.44	1.62	7
Cooper Kupp	LAR	WR	15	17.1	18.8	1.65	3.77	0.326	1
Aaron Jones	GB	RB	16.3	16.9	17.4	0.449	2.74	0.497	2
Justin Jefferson	MIN	WR	14.5	16.8	18.2	1.49	3.4	0.516	2
Austin Ekeler	LAC	RB	14.3	16.4	19.2	1.83	4.51	0.0914	2
Saquon Barkley	NYG	RB	13.1	16.3	18.7	2.02	4.69	0.0798	2
Christian McCaffrey	CAR	RB		16.2			16.7	0.644	2
D.J. Moore	CAR	WR	14.4	16.2	18.2	1.76	3.89	0.336	2
Travis Kelce	KC	TE	14.1	16	17.6	1.4	3.69	1.7	1
Baker Mayfield	CLE	QB	14.9	15.9	18.4	1.55	5.38	0.0754	7
Stefon Diggs	BUF	WR	14.5	15.9	19.2	2.14	4.8	0.45	2
Jameis Winston	NO	QB	13.3	15.8	18.3	1.95	5.2	0.494	8
Ezekiel Elliott	DAL	RB	13.5	15.6	16.8	1.15	3.68	0.294	3
Deebo Samuel	SF	WR	13.3	15.5	18	1.74	4.34	0.43	2
Teddy Bridgewater	DEN	QB	14.1	15.3	16.1	0.885	5.94	0.153	8
Najee Harris	PIT	RB	12.7	15.3	18.8	2.28	5.04	0.121	3
Carson Wentz	IND	QB	13.7	15.2	16.5	1.24	4.31	0.0688	8
James Robinson	JAC	RB	13.8	15.2	17.2	1.26	3.83	0.486	3
Zach Wilson	NYJ	QB	13.4	15.1	17.3	1.55	5.76	0.351	8
Chris Godwin	TB	WR	12.7	15	18	2.17	5.16	0.267	3
Justin Fields	CHI	QB	10.8	14.8	17	2.53	6.52	0.0711	8
Terry McLaurin	WAS	WR	12.3	14.8	17.3	2.3	5.23	0.29	3
Ben Roethlisberger	PIT	QB	12.6	14.7	17.5	1.94	4.98	0.313	9
D'Andre Swift	DET	RB	13.3	14.7	17.8	1.84	4.51	0.505	3
Adam Thielen	MIN	WR	11.5	14.5	16.8	2.12	4.99	0.0586	3
Jacoby Brissett	MIA	QB	12.8	14.4	16.4	1.54	6.09	2.28	10
Tyler Lockett	SEA	WR	12	14.4	18.6	2.86	6.58	0.266	3
Darren Waller	LVR	TE	12.5	14.3	16.6	1.7	4.07	2.79	2
Nick Chubb	CLE	RB	12.6	14.2	16.9	1.66	4.44	0.381	4
Mike Evans	TB	WR	11.8	14.2	17.4	2.31	5.62	0.112	3
DeAndre Hopkins	ARI	WR	13	14	14.8	0.682	2.56	0.131	3
