        Player  Team    Floor   Mean    Ceiling SD  Risk    VOR "Drop Off"  Tier    ADP
        Christian McCaffrey	CAR	266	308	338	26.2	3.92	141	16.5	1	1.23
		Dalvin Cook	MIN	263	291	313	21.6	3.35	125	7.9	1	2.54
		Derrick Henry	TEN	257	283	310	19.4	3.11	117	19.7	2	3.74
		Alvin Kamara	NO	220	264	301	32.8	4.86	97.1	30.1	3	4.05
		Nick Chubb	CLE	194	234	262	27.6	4.22	66.9	0.192	3	9.08
		Aaron Jones	GB	210	233	251	16.1	2.8	66.7	2.18	3	8.98
		Saquon Barkley	NYG	204	231	277	26.9	4.33	64.5	2.99	4	11.5
		Ezekiel Elliott	DAL	189	228	265	27.6	4.22	61.6	2.75	4	6.69
		Jonathan Taylor	IND	185	225	273	31.8	4.9	58.8	8.35	4	10.5
		Joe Mixon	CIN	202	217	245	16.8	3.23	50.4	2.48	4	20.3
		Austin Ekeler	LAC	181	215	236	22.5	3.97	48	7.35	5	11.9
		Najee Harris	PIT	182	207	242	22.3	4.04	40.6	3.22	5	15.4
		Antonio Gibson	WAS	154	204	243	32.2	4.98	37.4	7.69	5	17.8
		David Montgomery	CHI	165	196	236	26.1	4.42	29.7	0.858	5	31.1
		Chris Carson	SEA	174	195	224	19.2	3.41	28.9	2.43	5	33.6
		Clyde Edwards-Helaire	KC	172	193	224	21.4	3.72	26.4	1.94	5	24.4
		D'Andre Swift	DET	158	191	221	25.8	4.49	24.5	0.593	5	39.3
		Miles Sanders	PHI	151	191	227	27.1	4.71	23.9	0.786	5	43.5
		James Robinson	JAC	162	190	204	15.1	3.27	23.1	1.94	6	40.2
		Josh Jacobs	LVR	149	188	221	25.6	4.46	21.2	14.8	6	37.4
		Mike Davis	ATL	150	173	191	16.5	3.36	6.41	3.4	6	51.7
		Damien Harris	NE	143	170	182	14.8	3.38	3.01	3.01	7	69.6
		Myles Gaskin	MIA	138	167	200	22.6	4.3	0	2.02	7	52.3
		Gus Edwards	BAL	114	165	193	30.1	5.54	-2.02	4.48	7	66.2
		Chase Edmonds	ARI	138	160	184	14.7	3.33	-6.5	3.44	7	70.6
		Raheem Mostert	SF	130	157	192	22.7	4.29	-9.94	0.252	7	69
		Darrell Henderson	LAR	129	156	182	20.3	4.08	-10.2	6.1	7	59.7
		Kareem Hunt	CLE	107	150	179	25.1	4.42	-16.3	8.35	8	59.9
		Melvin Gordon	DEN	92.8	142	193	38	6.22	-24.6	7.72	8	83.9
		Javonte Williams	DEN	70	134	173	36	6.34	-32.4	4.82	8	68.3
		Ronald Jones	TB	112	129	178	26.5	4.6	-37.2	0.494	8	91
		Leonard Fournette	TB	111	129	179	25.6	4.78	-37.7	9.75	9	94.4
		Trey Sermon	SF	58.1	119	154	35.5	6.44	-47.4	3.54	9	83.4
		Zack Moss	BUF	87.3	116	145	22.3	4.29	-51	6.47	9	102
		James Conner	ARI	69.2	109	128	21.8	4.28	-57.4	1.04	9	102
		David Johnson	HOU	67.5	108	159	30.2	6.09	-58.5	0.277	9	122
		Ty'Son Williams	BAL	91.1	108	123	17	5.85	-58.8	0.457	10	130
		Sony Michel	LAR	65.3	107	127	21.1	4.95	-59.2	0.746	10	110
		Devin Singletary	BUF	89.4	107	130	14.5	3.14	-60	2.37	10	112
		Jeffery Wilson	SF	69.3	104	140	52	10.1	-62.3	1.61	10	
		Jamaal Williams	DET	89.3	103	116	11	2.79	-64	1.59	10	112
		Kenyan Drake	LVR	68.6	101	118	19.2	4.01	-65.5	4.38	10	114
		Michael Carter	NYJ	48	96.7	140	35.1	6.2	-69.9	0.732	10	96.9
		Tony Pollard	DAL	66.7	96	105	14	3.33	-70.7	1.07	10	125
		J.D. McKissic	WAS	80.8	94.9	110	9.75	3.29	-71.7	0.7	10	130
		Latavius Murray	NO	67.8	94.2	116	26.2	7.98	-72.4	0.782	10	147
		Todd Gurley	FA		93.4			5.86	-73.2	0.115	10	223
		Nyheim Hines	IND	77.9	93.3	108	10.8	2.92	-73.3	2.18	10	129
		Tevin Coleman	NYJ	69.1	91.1	105	13.9	4.25	-75.5	1.59	10	135
		AJ Dillon	GB	64.8	89.5	115	20.3	4.24	-77.1	0.0508	10	106
		Phillip Lindsay	HOU	44.7	89.5	121	27.9	5.35	-77.1	2.72	11	127
		James White	NE	64.4	86.7	110	17.8	4.35	-79.9	3	11	139
		Alexander Mattison	MIN	59.4	83.7	106	17.3	3.98	-82.9	4.1	11	136
		Mark Ingram	HOU	50.5	79.6	121	28	6.66	-87	1.39	11	159
		Rashaad Penny	SEA	60.3	78.3	102	14.2	4.22	-88.4	2.8	11	162
		Marlon Mack	IND	49.1	75.5	105	20.9	5.56	-91.2	1.73	11	167
		Justin Jackson	LAC	49.2	73.7	95.9	18.3	5.38	-92.9	0.0225	11	177
		Ty Johnson	NYJ	42.6	73.7	109	25.6	6.87	-92.9	0.667	11	209
		Damien Williams	CHI	14.7	73	102	31.2	6.76	-93.6	0.34	11	180
		Malcolm Brown	MIA	42.8	72.7	88.4	17.4	4.87	-93.9	0.895	11	182
		Brian Hill	TEN		71.8				-94.8	1.43	11	
		Giovani Bernard	TB	48.1	70.4	101	20.9	5.33	-96.2	0.0822	11	149
		Darrel Williams	KC	42	70.3	95.2	19.5	4.93	-96.3	0.414	11	159
		Rhamondre Stevenson	NE	43.9	69.9	104	24.5	6.49	-96.7	0.0557	11	131
